benchmark,protocol_id,n,method_id,metric,value,direction,source_type,source_locator,source_commit,comparison_eligibility,notes
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,full-memory-text,answer_f1,0.3625,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Captioned full text
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,full-memory-text,llm_judge_score,0.4331,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Captioned full text
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,fifo-recent,answer_f1,0.2724,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,FIFO
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,fifo-recent,llm_judge_score,0.3369,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,FIFO
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,naive-rag,answer_f1,0.5974,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,GME-Qwen2-VL-2B retriever
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,naive-rag,llm_judge_score,0.7241,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,GME-Qwen2-VL-2B retriever
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,generative-agent,answer_f1,0.3825,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Official harness implementation
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,generative-agent,llm_judge_score,0.4643,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Official harness implementation
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,memgpt,answer_f1,0.5282,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Official harness implementation
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,memgpt,llm_judge_score,0.7306,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Official harness implementation
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,a-mem,answer_f1,0.6228,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Mem-Gallery adaptation
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,a-mem,llm_judge_score,0.7431,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Mem-Gallery adaptation
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,memoryos,answer_f1,0.6109,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Mem-Gallery adaptation
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,memoryos,llm_judge_score,0.7613,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Mem-Gallery adaptation
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,full-memory-mm,answer_f1,0.3354,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Full multimodal context
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,full-memory-mm,llm_judge_score,0.4129,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Full multimodal context
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,murag,answer_f1,0.6966,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Best source-reported F1 in this protocol
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,murag,llm_judge_score,0.8229,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Best source-reported judge in this protocol
