implementation_id,display_name,run_status,n_samples,n_qa,storage_seconds,retrieval_seconds,answer_seconds,end_to_end_seconds,retrieval_latency_p50_ms,retrieval_latency_p95_ms,end_to_end_latency_p50_ms,end_to_end_latency_p95_ms,storage_prompt_tokens,storage_completion_tokens,storage_total_tokens,retrieval_prompt_tokens,retrieval_completion_tokens,retrieval_total_tokens,answer_prompt_tokens,answer_completion_tokens,answer_total_tokens,judge_prompt_tokens,judge_completion_tokens,judge_total_tokens,all_prompt_tokens,all_completion_tokens,all_total_tokens,memory_storage_bytes,peak_driver_ram_gib,peak_vram_gib,gpu_hours,n_expected,n_observed,n_failed,failure_rate,run_id,artifact_sha256
wma-dummy,Dummy / No Memory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-mmmemory,MMMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-mmfumemory,MMFUMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-mmfu-single,MMFU_Single,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-ngmemory,NGMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-augustus,AUGUSTUSMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-universalrag,UniversalRAGMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-a-mem,A-Mem,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-simplemem,SimpleMem,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-omni-simplemem,Omni-SimpleMem,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-vilomem,ViLoMem,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-m2a,M2A,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-mirix,MIRIX,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-qwen3-vl-embedding-8b,Qwen3-VL-Embedding-8B,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-structmem,StructMem,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wma-hela-mem,HeLa-Mem,LICENSE_BLOCKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentenhance-ceu,AgentEnhance-CEU,LOCKED_UNTIL_BASELINES_ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
