implementation_id,display_name,year,scope,run_status,n_samples,n_qa,qa_correct_ratio,qa_hallucination_ratio,qa_omission_ratio,answer_f1,answer_bleu1,retrieval_recall_at_10,retrieval_ndcg_at_10,memory_avg_recall,memory_avg_correctness,memory_update_handling,memory_interference_rejection,total_tokens,end_to_end_seconds,end_to_end_latency_p95_ms,memory_storage_bytes,peak_ram_gib,peak_vram_gib,gpu_hours,n_failed,run_id,artifact_sha256
wma-dummy,Dummy / No Memory,,benchmark-native,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),,benchmark-native,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-fumemory,FUMemory,,bundled-mem-gallery,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-stmemory,STMemory,,bundled-mem-gallery,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-ltmemory,LTMemory,,bundled-mem-gallery,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-gamemory,GAMemory,,bundled-mem-gallery,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-mgmemory,MGMemory,2026,bundled-mem-gallery,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-rfmemory,RFMemory,,bundled-mem-gallery,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-mmmemory,MMMemory,,bundled-mem-gallery,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-mmfumemory,MMFUMemory,,bundled-mem-gallery,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-mmfu-single,MMFU_Single,,benchmark-native,DEVELOPMENT_ACCEPTED_NOT_MAIN,,,,,,,,,,,,,,,,,,,,,,,
wma-ngmemory,NGMemory,2025,bundled-mem-gallery,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-augustus,AUGUSTUSMemory,2025,bundled-mem-gallery,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-universalrag,UniversalRAGMemory,2025,bundled-mem-gallery,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-a-mem,A-Mem,2025,external-adapter,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-simplemem,SimpleMem,2026,external-adapter,DEVELOPMENT_ACCEPTED_NOT_MAIN,,,,,,,,,,,,,,,,,,,,,,,
wma-omni-simplemem,Omni-SimpleMem,2026,external-adapter,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-vilomem,ViLoMem,2025,external-adapter,DEVELOPMENT_ACCEPTED_NOT_MAIN,,,,,,,,,,,,,,,,,,,,,,,
wma-m2a,M2A,2026,external-adapter,DEVELOPMENT_ACCEPTED_NOT_MAIN,,,,,,,,,,,,,,,,,,,,,,,
wma-mirix,MIRIX,2025,external-adapter,PENDING,,,,,,,,,,,,,,,,,,,,,,,
wma-qwen3-vl-embedding-8b,Qwen3-VL-Embedding-8B,,external-adapter,PENDING,,,,,,,,,,,,,,,,,,,,,,,
agentenhance-ceu,AgentEnhance-CEU,2026,proposed,LOCKED_UNTIL_BASELINES_ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,
