implementation_id,display_name,run_status,n_samples,n_qa,retrieval_hit_rate,retrieval_recall_at_1,retrieval_recall_at_5,retrieval_recall_at_10,retrieval_ndcg_at_1,retrieval_ndcg_at_5,retrieval_ndcg_at_10,retrieval_num_covered,retrieval_num_gold,memory_avg_recall,memory_avg_weighted_recall,memory_pooled_weighted_recall,memory_avg_correctness,memory_avg_hallucination,memory_avg_irrelevant,memory_itemwise_correctness,memory_itemwise_hallucination,memory_update_handling,memory_interference_rejection,memory_total_memories,n_failed,run_id,artifact_sha256
wma-dummy,Dummy / No Memory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-mmmemory,MMMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-mmfumemory,MMFUMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-mmfu-single,MMFU_Single,DEVELOPMENT_ACCEPTED_NOT_MAIN,,,,,,,,,,,,,,,,,,,,,,,,,
wma-ngmemory,NGMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-augustus,AUGUSTUSMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-universalrag,UniversalRAGMemory,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-a-mem,A-Mem,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-simplemem,SimpleMem,DEVELOPMENT_ACCEPTED_NOT_MAIN,,,,,,,,,,,,,,,,,,,,,,,,,
wma-omni-simplemem,Omni-SimpleMem,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-vilomem,ViLoMem,DEVELOPMENT_ACCEPTED_NOT_MAIN,,,,,,,,,,,,,,,,,,,,,,,,,
wma-m2a,M2A,DEVELOPMENT_ACCEPTED_NOT_MAIN,,,,,,,,,,,,,,,,,,,,,,,,,
wma-mirix,MIRIX,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-qwen3-vl-embedding-8b,Qwen3-VL-Embedding-8B,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-memoryos,MemoryOS,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-memgas,MemGAS,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-memory-r1,Memory-R1,CODE_NOT_RELEASED,,,,,,,,,,,,,,,,,,,,,,,,,
wma-apex-mem,APEX-MEM,OFFICIAL_CODE_UNVERIFIED,,,,,,,,,,,,,,,,,,,,,,,,,
wma-lightmem,LightMem,OFFICIAL_CODE_UNVERIFIED,,,,,,,,,,,,,,,,,,,,,,,,,
wma-hindsight,Hindsight,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-structmem,StructMem,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,
wma-hela-mem,HeLa-Mem,LICENSE_BLOCKED,,,,,,,,,,,,,,,,,,,,,,,,,
agentenhance-ceu,AgentEnhance-CEU,LOCKED_UNTIL_BASELINES_ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,
