sample_index,sample_id,relative_json_path,sessions,turns,attachments,qa,source_json_sha256
1,eb_alfred_base_01,agent/embodied/eb_alfred_base/eb_alfred_base_01.json,14,46,23,54,6a0168046ea99a642a9b80631798e6514e29b85709ced2713937043abe603189
2,eb_alfred_base_02,agent/embodied/eb_alfred_base/eb_alfred_base_02.json,11,42,21,54,21088364f121e7349ce4eef910d4bbbd9a9d22007d4bfe988951799e21d1fcbd
3,eb_alfred_base_03,agent/embodied/eb_alfred_base/eb_alfred_base_03.json,9,36,18,54,b99a0b7f8b130e9eb8d17ae8e8dc780af1f1c4e74caee167d7943aac9640105e
4,eb_alfred_base_04,agent/embodied/eb_alfred_base/eb_alfred_base_04.json,10,40,20,48,fc0afa9e4a7a37ee4c4019d4ed5c5eb226aadfb13cc60e30047e6c7b4d45efd0
5,eb_alfred_common_sense_01,agent/embodied/eb_alfred_common_sense/eb_alfred_common_sense_01.json,12,46,23,54,43c92cabed5e0b8a7b2a944d904926050b69ece203cec7f83f364ae10bdf1ce4
6,eb_alfred_common_sense_02,agent/embodied/eb_alfred_common_sense/eb_alfred_common_sense_02.json,15,60,30,54,0eab1eee11e4cf085feb02ff6178accb6ed3a3912324576fffedbe2d93ce2f73
7,eb_alfred_common_sense_03,agent/embodied/eb_alfred_common_sense/eb_alfred_common_sense_03.json,11,42,21,54,ea348fae2cb5f503f9e02e14132a2181cf769d23a0d8a4908be69c3f3be33378
8,eb_alfred_common_sense_04,agent/embodied/eb_alfred_common_sense/eb_alfred_common_sense_04.json,10,40,20,50,4bfae8746068b52bb471e429f5afe1367cf95bab4cb80599a4e5855f7ef71d6c
9,eb_alfred_complex_instruction_01,agent/embodied/eb_alfred_complex_instruction/eb_alfred_complex_instruction_01.json,15,60,30,54,05aae2b1f1907e5f540eb078b8e6d7a147e4d0013d6b4350d02b66a88176a9ef
10,eb_alfred_complex_instruction_02,agent/embodied/eb_alfred_complex_instruction/eb_alfred_complex_instruction_02.json,15,60,30,54,4bda8d1811ef9edd32cbee4ddfc9652626b3ac166d29cbdbc0af96ed48c27eaf
